config_name,period,frequency,forecast_length,n_models,multipliers,n_runs_per_multiplier,ensemble_smape,ensemble_mase,ensemble_owa
NBEATS-G,Yearly,1,6,18,"[2, 3, 4, 5, 6, 7]",3,13.318171,3.065676,0.793200
NBEATS-I,Yearly,1,6,18,"[2, 3, 4, 5, 6, 7]",3,13.265342,3.033357,0.787517
NBEATS-I+G,Yearly,1,6,18,"[2, 3, 4, 5, 6, 7]",3,13.208035,3.016657,0.783662
NBEATS-G,Quarterly,4,8,18,"[2, 3, 4, 5, 6, 7]",3,9.759905,1.116551,0.850352
NBEATS-I,Quarterly,4,8,18,"[2, 3, 4, 5, 6, 7]",3,9.784177,1.117957,0.851967
NBEATS-I+G,Quarterly,4,8,18,"[2, 3, 4, 5, 6, 7]",3,9.710846,1.107106,0.844680
NBEATS-G,Monthly,12,18,30,"[2, 3, 4, 5, 6, 7]",5,13.010235,0.910993,0.879400
NBEATS-I,Monthly,12,18,30,"[2, 3, 4, 5, 6, 7]",5,13.116783,0.918425,0.886588
NBEATS-I+G,Monthly,12,18,30,"[2, 3, 4, 5, 6, 7]",5,12.956865,0.906931,0.875639
NBEATS-G,Weekly,1,13,30,"[2, 3, 4, 5, 6, 7]",5,6.643803,1.983590,0.719760
NBEATS-I,Weekly,1,13,30,"[2, 3, 4, 5, 6, 7]",5,6.691431,1.968880,0.719711
NBEATS-I+G,Weekly,1,13,30,"[2, 3, 4, 5, 6, 7]",5,6.548377,1.919690,0.703046
NBEATS-G,Daily,1,14,30,"[2, 3, 4, 5, 6, 7]",5,2.504926,2.709557,0.824612
